from_stop_id,to_stop_id,transfer_type,min_transfer_time
1752,3673612,2,191
1752,3673613,2,198
6591768,2430,2,206
5770766,2393,2,273
5231600,2539,2,190
3687060,2539,2,235
2430,1753,2,139
1752,3813345,2,197
2430,3687459,2,198
2430,3687458,2,191
1659,4459271,2,211
1659,4459270,2,201
6591769,2430,2,252
5770763,2539,2,244
1752,4705558,2,247
2430,4009041,2,278
2430,3887742,2,210
5231624,1659,2,211
2205,2539,2,111
6591835,2430,2,206
1752,6575219,2,223
1659,6095573,2,201
1659,3765281,2,243
2539,3765283,2,216
2539,3765282,2,243
2539,3765281,2,243
5231599,2539,2,225
1659,3765283,2,216
1659,3765282,2,243
1659,3673606,2,228
2539,4036628,2,225
2539,4036629,2,190
6591769,1752,2,252
1659,3673605,2,243
1659,3673604,2,190
6591558,1752,2,252
1752,1753,2,156
2539,3673606,2,228
2539,3673604,2,190
2539,3673605,2,243
6263537,2539,2,211
1718,3673608,2,198
1718,3673609,2,254
2393,4798887,2,251
5231600,1659,2,190
3687059,1659,2,217
3687061,1659,2,190
5770764,1659,2,244
2539,4459271,2,211
2539,4459270,2,201
2393,3673633,2,212
2539,3690081,2,228
3687062,2539,2,201
3687062,1659,2,201
1950,2539,2,61
6263536,1659,2,211
1783,4798887,2,251
1752,3887742,2,210
5770765,1659,2,243
1659,4036628,2,225
3687659,1752,2,234
1659,4036629,2,190
5770767,1783,2,212
1659,3690051,2,219
5770766,1783,2,273
1659,3690050,2,219
1752,3687459,2,198
1752,3687458,2,191
5770767,2393,2,212
2430,4705558,2,247
1783,3673633,2,212
2539,3690051,2,219
2539,3690050,2,219
5939872,1659,2,201
1752,6591442,2,206
1752,6591443,2,252
1718,3687455,2,254
1718,3687454,2,244
6591835,1752,2,206
5231624,2539,2,211
2430,2431,2,140
2539,6095573,2,201
5770763,1659,2,244
2463,3673608,2,198
2463,3673609,2,254
1659,3690081,2,228
5231599,1659,2,225
5770765,2539,2,243
2430,3813345,2,197
1752,2431,2,131
6263537,1659,2,211
5939872,2539,2,201
6591768,1752,2,206
6591558,2430,2,252
5770764,2539,2,244
2463,3687454,2,244
2463,3687455,2,254
2205,1659,2,107
3687059,2539,2,217
3687061,2539,2,190
1752,4009041,2,278
1950,1659,2,61
3687060,1659,2,235
2430,3673612,2,191
2430,6591443,2,252
2430,6591442,2,206
2430,3673613,2,198
2539,5657303,2,213
6263536,2539,2,211
2539,5657302,2,216
3687659,2430,2,234
1659,5657303,2,213
1659,5657302,2,216
2430,6575219,2,223
