service_id,date,exception_type
12280340,20170507,1
12280340,20170508,1
12280340,20170514,1
12280340,20170521,1
12280340,20170528,1
12280340,20170604,1
12280340,20170605,1
12280340,20170611,1
12280340,20170618,1
12280340,20170625,1
12280340,20170702,1
12280340,20170709,1
12280340,20170715,1
12280340,20170716,1
12280340,20170723,1
12280340,20170730,1
12280340,20170806,1
12280340,20170813,1
12280340,20170820,1
12280340,20170827,1
12280340,20170903,1
12280340,20170910,1
12280340,20170917,1
12280340,20170924,1
12280340,20171001,1
12280340,20171008,1
12280340,20171015,1
12280340,20171022,1
12280340,20171029,1
2280340,20170506,1
2280340,20170507,1
2280340,20170513,1
2280340,20170520,1
2280340,20170527,1
2280340,20170603,1
2280340,20170604,1
2280340,20170610,1
2280340,20170617,1
2280340,20170624,1
2280340,20170701,1
2280340,20170708,1
2280340,20170714,1
2280340,20170715,1
2280340,20170722,1
2280340,20170729,1
2280340,20170805,1
2280340,20170812,1
2280340,20170819,1
2280340,20170826,1
2280340,20170902,1
2280340,20170909,1
2280340,20170916,1
2280340,20170923,1
2280340,20170930,1
2280340,20171007,1
2280340,20171014,1
2280340,20171021,1
2280340,20171028,1
2280341,20170505,1
2280341,20170512,1
2280341,20170519,1
2280341,20170524,1
2280341,20171006,1
2280341,20171013,1
2280341,20171020,1
2280341,20171027,1
2280341,20171031,1
12280342,20170527,1
12280342,20170603,1
12280342,20170610,1
12280342,20170617,1
12280342,20170624,1
12280342,20170701,1
12280342,20170708,1
12280342,20170714,1
12280342,20170722,1
12280342,20170729,1
12280342,20170805,1
12280342,20170812,1
12280342,20170815,1
12280342,20170819,1
12280342,20170826,1
12280342,20170902,1
12280342,20170909,1
12280342,20170916,1
12280342,20170923,1
12280342,20170930,1
2280342,20170526,1
2280342,20170602,1
2280342,20170609,1
2280342,20170616,1
2280342,20170623,1
2280342,20170630,1
2280342,20170707,1
2280342,20170713,1
2280342,20170721,1
2280342,20170728,1
2280342,20170804,1
2280342,20170811,1
2280342,20170814,1
2280342,20170818,1
2280342,20170825,1
2280342,20170901,1
2280342,20170908,1
2280342,20170915,1
2280342,20170922,1
2280342,20170929,1
12280341,20170506,1
12280341,20170513,1
12280341,20170520,1
12280341,20170525,1
12280341,20171007,1
12280341,20171014,1
12280341,20171021,1
12280341,20171028,1
12280341,20171101,1
2280339,20170601,1
2280339,20170606,1
2280339,20170607,1
2280339,20170608,1
2280339,20170612,1
2280339,20170613,1
2280339,20170614,1
2280339,20170615,1
2280339,20170619,1
2280339,20170620,1
2280339,20170621,1
2280339,20170622,1
2280339,20170626,1
2280339,20170627,1
2280339,20170628,1
2280339,20170629,1
2280339,20170703,1
2280339,20170704,1
2280339,20170705,1
2280339,20170706,1
2280339,20170710,1
2280339,20170711,1
2280339,20170712,1
2280339,20170717,1
2280339,20170718,1
2280339,20170719,1
2280339,20170720,1
2280339,20170724,1
2280339,20170725,1
2280339,20170726,1
2280339,20170727,1
2280339,20170731,1
2280339,20170801,1
2280339,20170802,1
2280339,20170803,1
2280339,20170807,1
2280339,20170808,1
2280339,20170809,1
2280339,20170810,1
2280339,20170816,1
2280339,20170817,1
2280339,20170821,1
2280339,20170822,1
2280339,20170823,1
2280339,20170824,1
2280339,20170828,1
2280339,20170829,1
2280339,20170830,1
2280339,20170831,1
2280339,20170904,1
2280339,20170905,1
2280339,20170906,1
2280339,20170907,1
2280339,20170911,1
2280339,20170912,1
2280339,20170913,1
2280339,20170914,1
2280339,20170918,1
2280339,20170919,1
2280339,20170920,1
2280339,20170921,1
2280339,20170925,1
2280339,20170926,1
2280339,20170927,1
2280339,20170928,1
2280338,20170504,1
2280338,20170509,1
2280338,20170510,1
2280338,20170511,1
2280338,20170515,1
2280338,20170516,1
2280338,20170517,1
2280338,20170518,1
